title,url,description,job_levels,languages,assessment_length_minutes,remote_testing,adaptive_irt,test_type_codes,test_types,downloads
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,"This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.","Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor",,,True,False,"A, E, B, C, D, P","Ability, Experience, Behavioral, Competency, Development, Personality","[{""title"": ""Sample Report (Development)"", ""url"": ""https://service.shl.com/docs/Global Skills Development Report International English.pdf"", ""language"": ""English International""}, {""title"": ""Global Skills Development Report (Reskilling) International English"", ""url"": ""https://service.shl.com/docs/Global Skills Development Report with Reskilling UKE.pdf"", ""language"": ""English International""}, {""title"": ""Sample Report (Development)"", ""url"": ""https://service.shl.com/docs/Global Skills Development Report US English.pdf"", ""language"": ""English (USA)""}, {""title"": ""Global Skills Development Report (Reskilling) US English"", ""url"": ""https://service.shl.com/docs/Global Skills Development Report with Reskilling UKE.pdf"", ""language"": ""English (USA)""}]"
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.","Professional Individual Contributor, Mid-Professional",English (USA),30,True,True,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/Fact_Sheet-dotnet_framework_4.5.pdf"", ""language"": ""English (USA)""}]"
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,"Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.","Mid-Professional, Professional Individual Contributor",English (USA),17,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/.NET MVC (New).pdf"", ""language"": ""English (USA)""}]"
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,"Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.","Mid-Professional, Professional Individual Contributor",English (USA),5,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/.NET MVVM (New).pdf"", ""language"": ""English (USA)""}]"
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.","Mid-Professional, Professional Individual Contributor",English (USA),11,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/.NET WCF (New).pdf"", ""language"": ""English (USA)""}]"
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.","Mid-Professional, Professional Individual Contributor",English (USA),9,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/.NET WPF (New).pdf"", ""language"": ""English (USA)""}]"
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.","Mid-Professional, Professional Individual Contributor",English (USA),5,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/.NET XAML (New).pdf"", ""language"": ""English (USA)""}]"
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor",English (USA),9,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/Accounts Payable (New).pdf"", ""language"": ""English (USA)""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/Accounts Payable (New) Sample Report.pdf"", ""language"": ""English (USA)""}]"
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,Simulated data entry test that measures the ability to process payables and vendor invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor",English (USA),8,True,False,S,Simulation,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/Accounts Payable Simulation (New).pdf"", ""language"": ""English (USA)""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/Accounts Payable Simulation (New) Sample Report.pdf"", ""language"": ""English (USA)""}]"
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,Multiple-choice test that measures the knowledge of processing receivables and invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor",English (USA),13,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/Accounts Receivable (New).pdf"", ""language"": ""English (USA)""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/Accounts Receivable (New) Sample Report.pdf"", ""language"": ""English (USA)""}]"
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,Simulated data entry test that measures the ability to process receivables and invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor",English (USA),8,True,False,S,Simulation,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/Accounts Receivable Simulation (New).pdf"", ""language"": ""English (USA)""}, {""title"": ""Sample Report"", ""url"": ""https://service.shl.com/docs/Accounts Receivable Simulation (New) Sample Report.pdf"", ""language"": ""English (USA)""}]"
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.","Mid-Professional, Professional Individual Contributor",English (USA),10,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/ADO.NET (New).pdf"", ""language"": ""English (USA)""}]"
Adobe Experience Manager (New),https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,"Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.","Mid-Professional, Professional Individual Contributor",English (USA),17,True,False,K,Knowledge,"[{""title"": ""Product Fact Sheet"", ""url"": ""https://service.shl.com/docs/Adobe Experience Manager (New).pdf"", ""language"": ""English (USA)""}]"
